No,社名,業務内容,"使用
ソフト",計画/実績,1月,2月,3月,4月,5月,6月
1,"ISJ
(日本オンサイト)",設備設計,ー,計画,130 ,160 ,160 ,160 ,105 ,160 
,,,,実績,80 ,152 ,160 ,152 ,161 ,171 
2,"ISJ
(部品設計)",自動車部品,CATIA,計画,120 ,150 ,150 ,150 ,100 ,150 
,,,,実績,32 ,56 ,-,-,,
3,"ISJ
（生産設備)",図面化,ICAD,計画,100 ,100 ,100 ,100 ,80 ,100 
,,,,実績,8 ,-,8 ,-,,
4,"GLW
(LM)","電気自動車の
ベースデザイン",CATIA,計画,0 ,50 ,50 ,50 ,50 ,50 
,,,,実績,-,-,-,-,,
5,"GLW
(FALTEC)",外装部品設計,CATIA,計画,100 ,100 ,140 ,140 ,120 ,140 
,,,,実績,-,-,-,-,,
6,"GLW
(河西テクノ)",内装部品設計,CATIA,計画,100 ,100 ,100 ,100 ,80 ,100 
,,,,実績,-,-,-,-,,
7,テクノハマ,金型データ作成,"NX
CATIA",計画,-,-,-,100 ,80 ,100 
,,,,実績,-,-,-,-,3 ,
8,"GNN（5P45）
(河西テクノ)",内装部品設計,CATIA,計画,100 ,100 ,100 ,100 ,80 ,100 
,,,,実績,74 ,72 ,208 ,10 ,-,
9,"GNN（H60E）
(河西テクノ)",内装部品設計,CATIA,計画,-,-,-,-,-,-
,,,,実績,-,-,85 ,-,-,
10,"GNN（L53M）
(河西テクノ)",内装部品設計,CATIA,計画,-,-,-,-,-,-
,,,,実績,-,-,-,-,110 ,-
11,"GNN（33FY）
(河西テクノ)",内装部品設計,CATIA,計画,-,-,-,-,-,-
,,,,実績,-,-,-,-,,-
12,日泉化学,内装部品設計,CATIA,計画,-,-,150 ,250 ,150 ,0 
,,,,実績,-,-,-,-,,
13,"VUTEQ​
インドネシア",内装部品設計,CATIA,計画,-,-,-,-,-,-
,,,,実績,-,-,-,-,-,
14,"GNN（W13G）
(河西工業)",内装部品設計,CATIA,計画,-,-,-,-,-,-
,,,,実績,-,-,-,-,-,
15,"GNN（W13G）
(河西工業オンサイト)",内装部品設計,CATIA,計画,-,-,-,-,-,-
,,,,実績,-,-,-,-,-,
16,啓装工業,生産設備,ICAD,計画,-,-,-,-,-,-
,,,,実績,-,-,-,-,-,
